Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,4402,5414
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,8189,8600
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,2214,2346
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,3688,3698
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,10922,16156
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,19820,23960
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,2203,2872
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor of Technology),SC,Female-Only,2833,3644
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,883,1093
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor of Technology),ST,Female-Only,1402,1429
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,984,1510
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,2515,3264
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,54,54
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,426,538
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,923,1035
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,2344,4162
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,4082,6467
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN(PwD),Female-Only,50P,50P
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,344,747
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-Only,1158,1330
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,136,265
IIT Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-Only,663,663
